[2023-11-28 11:43:42,289][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-28 11:43:42,289][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Protein_design2/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-28 11:43:56,384][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-28 11:43:56,549][rfdiffusion.diffusion][INFO] - Calculating IGSO3.
[2023-11-28 11:44:18,233][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-28 11:44:18,237][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-28 11:44:18,298][rfdiffusion.inference.model_runners][INFO] - Sequence init: -------------
[2023-11-28 11:44:28,356][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: -------------
[2023-11-28 11:44:28,848][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: -------------
[2023-11-28 11:44:29,337][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: -------------
[2023-11-28 11:44:29,933][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: -------------
[2023-11-28 11:44:30,436][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: -------------
[2023-11-28 11:44:30,929][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: -------------
[2023-11-28 11:44:31,417][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: -------------
[2023-11-28 11:44:31,902][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: -------------
[2023-11-28 11:44:32,387][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: -------------
[2023-11-28 11:44:32,872][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: -------------
[2023-11-28 11:44:33,357][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: -------------
[2023-11-28 11:44:33,841][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: -------------
