[2023-11-27 18:02:21,150][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-27 18:02:21,151][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Working_pipeline/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-27 18:02:27,615][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-27 18:02:27,752][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2023-11-27 18:02:27,796][__main__][INFO] - Making design RFdiffusion_tmp_output/test_0
[2023-11-27 18:02:27,799][rfdiffusion.inference.model_runners][INFO] - Using contig: ['10-20']
[2023-11-27 18:02:27,810][rfdiffusion.inference.model_runners][INFO] - Sequence init: -----------
[2023-11-27 18:02:30,171][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: -----------
[2023-11-27 18:02:30,594][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: -----------
[2023-11-27 18:02:31,015][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: -----------
[2023-11-27 18:02:31,432][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: -----------
[2023-11-27 18:02:31,849][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: -----------
[2023-11-27 18:02:32,264][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: -----------
[2023-11-27 18:02:32,679][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: -----------
[2023-11-27 18:02:33,093][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: -----------
[2023-11-27 18:02:33,506][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: -----------
[2023-11-27 18:02:33,926][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: -----------
[2023-11-27 18:02:34,340][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: -----------
[2023-11-27 18:02:34,753][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: -----------
[2023-11-27 18:02:35,166][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: -----------
[2023-11-27 18:02:35,578][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: -----------
[2023-11-27 18:02:35,992][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: -----------
